ra,dec,z_spec,z_flag
189.13706501353215,62.21327335776786,3.909594,"{6, 7}"
189.13101174089405,62.213989428212855,2.437277,"{6, 7}"
189.1291983907139,62.215140564454934,3.908752,"{6, 7}"
189.14637872060382,62.21550823489571,4.063076,"{4, 5, 6, 7}"
189.12382509524014,62.21549730340388,5.786884,"{6, 7}"
189.12750688375738,62.21619294721527,3.354814,{7}
189.13843062697867,62.21801838859797,2.978967,{7}
189.12177301425024,62.21968372388903,4.914,"{2, 7}"
189.16530890538837,62.22055555468206,1.013731,"{4, 5, 6, 7}"
189.1172020940793,62.221433699750825,4.161308,"{6, 7}"
189.10807529554066,62.22205034287017,3.968633,"{6, 7}"
189.11694726540446,62.22207876358307,5.182848,"{6, 7}"
189.1582453662495,62.22136013287726,9.068484,"{4, 5, 6, 7}"
189.12741112526726,62.22443424990734,3.978188,"{6, 7}"
189.11031858472745,62.22544244372944,5.351595,"{6, 7}"
189.11341360298923,62.22765640268697,4.922789,"{6, 7}"
189.1153167970779,62.23409874869081,5.179648,"{6, 7}"
189.15375902990397,62.22232321376374,2.942906,"{6, 7}"
189.09925933788136,62.23824910408436,3.475048,"{6, 7}"
189.11960463564822,62.23854979291465,5.277043,"{6, 7}"
189.18089237348963,62.23887679829965,5.545638,"{6, 7}"
189.09526435376006,62.239703472075476,3.841797,"{6, 7}"
189.10602065380908,62.240137799093375,4.17467,"{6, 7}"
189.19179253194673,62.24204531469492,4.773197,"{6, 7}"
189.1339233846043,62.24242813778653,3.663253,"{6, 7}"
189.0970107901933,62.24698088940611,4.902988,"{6, 7}"
189.0962213029358,62.248918082673775,3.26,"{2, 4}"
189.11636954392034,62.249101775923364,3.476296,"{6, 7}"
189.1168361021397,62.25074486540323,3.467254,"{6, 7}"
189.08265193081894,62.25247723160351,6.761535,"{6, 7}"
189.07140595422632,62.25326502569788,4.834639,"{6, 7}"
189.19327630338626,62.25372707084826,4.058418,"{6, 7}"
189.09179031231884,62.25374072532921,5.768527,"{6, 7}"
189.11344298847482,62.25480338430457,4.416377,"{6, 7}"
189.08014356130892,62.2553986093555,4.398992,"{6, 7}"
189.09814456124133,62.255552441430716,4.883659,"{6, 7}"
189.0798188542672,62.25646070822843,6.756971,"{6, 7}"
189.20666769481045,62.25677341468013,4.064192,"{6, 7}"
189.14179017654314,62.25841279000412,4.938248,"{6, 7}"
189.2014827088781,62.258632890799674,3.635197,"{6, 7}"
189.13702475518164,62.2587201248694,3.661695,"{6, 7}"
189.08587230943465,62.259044500525704,4.696387,"{6, 7}"
189.1576571698639,62.25929981444334,3.666044,"{6, 7}"
189.1519656570194,62.25963521216192,6.759366,"{6, 7}"
189.10636573906254,62.25971420687521,5.421637,"{6, 7}"
189.13723537049177,62.2606362510657,5.601975,"{6, 7}"
189.12197992479508,62.26130830012754,5.320736,"{6, 7}"
189.13093210899672,62.26199976388494,4.41929,"{6, 7}"
189.1284210756303,62.262771984900674,5.865369,"{6, 7}"
189.16214905172856,62.263810849468214,6.314601,"{6, 7}"
189.0819036958499,62.2649221899439,4.172118,"{6, 7}"
189.09600237750175,62.26541430235651,4.424293,"{6, 7}"
189.05794759025335,62.266520875550704,3.908666,"{6, 7}"
189.08254012622058,62.26932446992568,4.023232,"{6, 7}"
189.13400174814544,62.26945610747303,3.340562,"{6, 7}"
189.05318301153736,62.26955640929942,4.33377,"{10, 6, 7}"
189.11104101528767,62.27190179103356,4.038605,"{6, 7}"
189.0583154970877,62.272558292613084,3.866069,"{6, 7}"
189.09533768260124,62.27309990747221,2.752502,"{6, 7}"
189.15742057081988,62.273606875302164,5.679713,"{6, 7}"
189.0642806828022,62.27429802914863,5.144219,{6}
189.13807673596932,62.27445220538244,6.745649,"{6, 7}"
189.20055154479468,62.27458311727341,3.324926,"{6, 7}"
189.12557650325525,62.27484805370226,3.871523,"{6, 7}"
189.2026030536545,62.27550905029949,6.907079,"{6, 7}"
189.13851114151183,62.27561026151829,6.744623,"{6, 7}"
189.160226685981,62.27622688271192,3.810089,"{6, 7}"
189.17974248093586,62.224629085991644,5.594198,"{6, 7}"
189.15823115100412,62.27842717434089,5.765919,"{4, 6}"
189.1376299809762,62.27863053996361,3.913113,"{6, 7}"
189.13699901321118,62.27895560507869,3.918047,"{6, 7}"
189.09482145059962,62.2789943719872,4.691532,"{6, 7}"
189.12982492073613,62.281169237098965,3.33482,"{6, 7}"
189.17975270932268,62.28238705208586,7.079989,"{6, 7}"
189.09628668994077,62.282484531012564,3.962754,"{6, 7}"
189.10576599321732,62.28337197478065,3.657174,"{6, 7}"
189.13216122442967,62.224859009423476,1.860986,"{5, 6, 7}"
189.1765507764058,62.283723359764544,4.148276,"{6, 7}"
189.18666624107718,62.284913783143,3.317353,"{6, 7}"
189.18118338586046,62.22495090960964,3.654467,"{6, 7}"
189.1840362710666,62.28593002993619,4.153986,"{6, 7}"
189.1059340897561,62.286854218204276,4.470204,"{6, 7}"
189.11186100400698,62.28772989381203,4.379654,"{6, 7}"
189.18335875302895,62.28772220532748,7.021773,"{6, 7}"
189.10256103571794,62.287861512815944,3.657747,"{6, 7}"
189.11428989922354,62.292997119502054,4.822859,{6}
189.1082623048144,62.29318952854989,4.885554,"{3, 6, 7}"
189.12034313440427,62.29486385919126,6.588122,"{6, 7}"
189.1168167533025,62.29809532641526,3.33403,"{6, 7}"
189.1133994120063,62.29819055732666,3.326626,"{6, 7}"
189.1173708639411,62.298258302008946,3.330991,"{6, 7}"
189.18628574858246,62.22539469370035,6.98285,"{6, 7}"
189.10030916904026,62.230852494853,5.200843,"{4, 5, 6, 7}"
189.09490724065162,62.23946247786139,5.301883,"{4, 5, 6, 7}"
189.17476851809738,62.22706220620766,2.01094,"{2, 4, 5}"
189.11160330290662,62.24028044371202,4.159894,"{6, 7}"
189.1072035126018,62.245742131081336,3.966567,"{6, 7}"
189.16577747150117,62.254196909067396,5.127506,"{6, 7}"
189.18030266496842,62.22719693731242,2.996001,{7}
189.15334224136484,62.26427546093741,0.852,"{2, 6, 7}"
189.09272421587352,62.266041562945965,4.469938,"{6, 7}"
189.16746705540643,62.227445442622766,2.400808,{7}
189.13114471543295,62.27035136016714,4.042305,"{6, 7}"
189.11245098498995,62.2874618355639,4.379484,"{6, 7}"
189.1156471608649,62.29659329331632,4.929402,"{6, 7}"
189.0886215673372,62.23948889155013,5.438544,"{6, 7}"
189.20531369296177,62.25077406520988,6.993082,"{6, 7}"
189.1977397875544,62.256964014476154,8.276723,"{6, 7}"
189.10890164819955,62.27469713546936,4.472473,"{6, 7, 9}"
189.14071888572562,62.27724123594986,4.041895,"{6, 7}"
189.07083255108296,62.278037873371794,3.663155,"{6, 7}"
189.06964134434463,62.281019169220514,7.032441,"{9, 7}"
189.19570744893042,62.282424008018,7.085403,{6}
189.1042771995881,62.2845601591487,3.659768,"{6, 7}"
189.17731213168506,62.291057845708245,6.727254,"{6, 7, 9}"
189.17999852966466,62.29140269467759,3.851873,"{6, 7}"
189.17192259957824,62.29445144718797,3.640346,"{6, 7}"
189.1899322238969,62.29984565983788,3.213984,"{6, 7}"
189.16503063286177,62.30019331875428,6.558868,"{6, 7}"
189.18839905142454,62.303048994477386,6.728436,"{6, 7}"
189.1759473348275,62.31153443133764,5.656652,"{6, 7}"
189.1703294270593,62.22949871646007,6.712473,"{6, 7}"
189.17968683247895,62.240785016803436,3.399281,"{6, 7}"
189.1625333719741,62.258245417627734,6.996386,"{6, 7}"
189.05730261456566,62.2700601763944,3.968389,"{6, 7}"
189.11152093660914,62.277942200939336,5.631873,"{6, 7}"
189.12025289401086,62.2779756311401,4.69,"{2, 4}"
189.19078222219335,62.23053524669627,5.81369,"{2, 5}"
189.12567235173518,62.29047218901856,2.05733,"{2, 4}"
189.19834025688849,62.2970149013126,7.0382,"{6, 7}"
189.1656047990161,62.231169947977946,3.654352,"{8, 9, 7}"
189.16010450918603,62.23109542876306,3.978026,{7}
189.1662902664677,62.23208769804803,3.18919,"{4, 5, 6, 7}"
189.17625673103126,62.23223600176283,2.98772,"{4, 5, 6, 7}"
189.18822237873312,62.24603584049075,3.101424,{6}
189.1545591984558,62.24753815822748,5.270887,"{6, 7}"
189.15257217581856,62.23266650460829,4.415003,"{6, 7}"
189.106517388872,62.252056637421546,3.470546,{6}
189.14603820893853,62.25379417403266,3.365899,"{6, 7}"
189.07398671212755,62.25481196972126,3.405398,"{6, 7}"
189.08626589684465,62.25757136710565,3.677411,"{6, 7}"
189.11821922713818,62.26037047807183,3.444315,"{6, 7}"
189.1271765436644,62.26148797265662,3.33531,"{6, 7}"
189.09764722639503,62.26758235301028,4.699135,"{6, 7}"
189.10773892180245,62.269524833733016,3.661756,"{6, 7}"
189.09982099974607,62.27578480992663,3.217923,{6}
189.14088596186687,62.28065847467915,3.335498,"{6, 7}"
189.2330628111964,62.286676866877954,3.20293,{4}
189.13553642458834,62.30016125036875,2.955245,"{6, 7}"
189.12051572706812,62.30316745459501,4.531638,{7}
189.1201100533141,62.30436156843271,5.268569,{7}
189.19176904837832,62.233756822868514,2.96937,{7}
189.16641454710955,62.233839270025015,4.522993,"{5, 6}"
189.09601919070852,62.22594641743039,3.073683,"{6, 7}"
189.1857804109026,62.23728536135841,3.26102,{4}
189.19065059209024,62.239403196576234,3.182104,"{6, 7}"
189.19125924064986,62.24128929444722,0.82962,"{2, 5}"
189.1583596414822,62.24763991644944,1.82132,"{6, 7}"
189.06668590809795,62.25153620846546,4.150101,"{6, 7}"
189.12428747669748,62.23533531607666,3.68394,"{2, 5}"
189.0866645054194,62.26586994735729,3.226256,"{6, 7}"
189.1502349622891,62.23546913329209,2.631382,"{4, 5, 6, 7}"
189.05094952489551,62.272000734127225,3.39886,"{6, 7}"
189.18476243592497,62.27329405906597,4.077533,"{6, 7}"
189.117937757952,62.23551849901763,5.267696,"{6, 7}"
189.1355641683598,62.273498300397584,4.047603,"{6, 7}"
189.0535054212758,62.27400171300837,1.358936,"{6, 7}"
189.09375248599122,62.27948347775502,2.093,"{2, 4}"
189.1876595458532,62.2887770002343,2.525,"{2, 4}"
189.09360831232124,62.291891393819604,3.659015,"{6, 7}"
189.10667326023503,62.23580737674055,1.549063,"{2, 4, 9}"
189.10353888868437,62.296728096603644,2.84118,"{6, 7}"
189.11866356726782,62.225696915473215,3.96,"{2, 4}"
189.12298663377578,62.23411724739543,3.400337,"{6, 7}"
189.1094126088818,62.23880147919797,7.129631,"{6, 7}"
189.12313452679922,62.23689787309738,1.36884,"{2, 4}"
189.10605424752143,62.24204893653358,10.605011,"{6, 7}"
189.1581278540539,62.24517275138643,3.477287,"{6, 7}"
189.17360796345432,62.26274602010889,2.212,"{2, 4}"
189.11527954411002,62.2656600572145,1.5,"{2, 4}"
189.12890596591828,62.27840709551566,4.042823,"{6, 7}"
189.1732701720233,62.27969128035664,2.87,{4}
189.17248595168434,62.2373871718134,1.71014,"{2, 4}"
189.19994707696674,62.30554441906302,3.399986,"{6, 7}"
189.1963698638407,62.237773939994554,0.81926,"{6, 7}"
189.21938693401344,62.238240835485506,5.99125,"{4, 5, 6, 7}"
189.21123983894495,62.23872899999026,1.534011,{7}
189.1185849751317,62.2385958540212,7.67914,"{2, 4}"
189.10913545783515,62.2386582430904,7.135627,"{4, 6}"
189.18525267366311,62.238760924231094,4.046907,"{6, 7}"
189.19247822225836,62.23882485043618,3.240158,{7}
189.09629310395917,62.23914377191549,7.411768,"{2, 7}"
189.17564929351153,62.239211897371824,2.984992,{7}
189.0816842657762,62.239751530593736,2.291153,{7}
189.1975244435611,62.2401018952594,2.600591,"{5, 6, 7}"
189.19426286554625,62.24016786736885,2.58243,"{5, 6, 7}"
189.1008488724661,62.240182939509495,5.298382,{6}
189.1694097232813,62.24038593758642,4.406302,"{11, 7}"
189.1725279765722,62.24053791759467,6.992154,{6}
189.16541576825315,62.24070268793869,1.27125,"{2, 4}"
189.23236009203694,62.24078753454091,2.505811,"{4, 5, 6, 7}"
189.16011971855286,62.24154215429957,4.33184,{7}
189.10604264971155,62.24204477461731,10.603385,{7}
189.1801871533958,62.24239916500368,2.207092,{7}
189.0852828887834,62.24254365678165,0.779,"{2, 7}"
189.07727196526315,62.2425331554748,8.366659,{7}
189.16643685332812,62.242870120283136,0.401662,"{2, 5}"
189.11400425744898,62.24294132162917,5.618319,"{6, 7}"
189.11064504363222,62.243241301270515,0.512634,{6}
189.15808028463687,62.2433200605439,2.202471,{7}
189.24976932249743,62.24390496129983,5.179447,{6}
189.16366371911687,62.244005381891874,1.42319,"{2, 4}"
189.07954071900633,62.24390342479952,3.41477,"{2, 5}"
189.25430304921198,62.244336113652366,3.215083,{7}
189.16094785240705,62.24473158736926,2.978881,{7}
189.15552382022935,62.24501062589632,3.134326,"{5, 6, 7}"
189.13898731269504,62.245240303743486,5.856986,"{2, 4, 5}"
189.09810936015214,62.245575857937176,1.433054,{7}
189.15363654916518,62.245478554239256,4.885898,"{6, 7}"
189.15257952656495,62.24663193204633,3.577907,"{6, 7}"
189.15226903815923,62.24679937352848,1.38256,"{2, 7}"
189.1081829353685,62.24714628240812,6.045765,"{6, 7}"
189.2329047564222,62.247381435674896,6.995999,"{6, 7}"
189.2587786687946,62.24756641020722,3.574661,"{6, 7}"
189.0984092436315,62.247826743612194,2.48636,"{4, 5, 6, 7}"
189.2351267006241,62.247880721981176,2.959392,{7}
189.0963001385882,62.2479736656078,7.088972,"{6, 7}"
189.23680709932202,62.24825078060345,3.184556,{7}
189.16245680722005,62.24880326410312,1.47936,{7}
189.2489154588291,62.24974103232486,6.65407,"{6, 7}"
189.2294424733133,62.24992547644085,3.423205,"{6, 7}"
189.08429839578827,62.250025644294915,2.575211,"{5, 6, 7}"
189.09394801154806,62.25016442205175,2.415277,{7}
189.09684193474212,62.250515881250216,2.410915,{7}
189.10626524115315,62.25054885220197,5.595108,"{6, 7}"
189.16260764833675,62.25079138831092,5.18773,"{5, 6, 7}"
189.24835752011384,62.25124985426503,2.758537,{7}
189.1841574356051,62.25125165151752,0.92375,"{2, 5}"
189.14752482472738,62.25144957934716,3.205593,{7}
189.14551894573611,62.25155223990549,2.729731,"{6, 7}"
189.24816897130395,62.25174861789477,3.780554,{7}
189.2452691628854,62.252529273341494,6.816396,"{6, 7}"
189.15245564253013,62.25268246763078,0.640352,"{2, 6}"
189.24109041695823,62.25335709242332,2.575994,{7}
189.24362707351133,62.253415500675345,2.59752,"{2, 4, 5, 7}"
189.2320160918312,62.255418166766134,4.409697,"{6, 7}"
189.23494089921414,62.255769063735784,2.001139,"{4, 5, 6, 7, 10}"
189.17485269805752,62.25670907138821,2.5787,{7}
189.18537652232772,62.25800720082117,3.16965,"{2, 4, 5}"
189.1847216946726,62.25827549247776,3.333,{6}
189.1539960602218,62.25954077575455,6.757164,{7}
189.2156216656114,62.259788373964234,0.847718,"{2, 4, 7}"
189.2016491705322,62.25993268864749,2.959502,"{6, 7}"
189.1849075215634,62.260344982718436,3.30814,{7}
189.20116072748883,62.260885954230346,1.946184,{7}
189.1967935194902,62.26141252740809,1.904138,"{4, 5, 6, 7, 9}"
189.1867167886811,62.262421741869396,2.202024,{7}
189.18445908396674,62.26248948148332,9.908,"{2, 4, 5, 7, 10}"
189.22058747511923,62.26367513861952,4.406176,"{6, 7}"
189.20745025147562,62.26445322978169,4.063445,"{5, 6, 7}"
189.21742849386678,62.26520578949557,1.608,"{4, 6, 7}"
189.17780612626353,62.265588634994124,6.713699,"{6, 7}"
189.19298351402233,62.26575294118997,7.18511,"{2, 4}"
189.17524792356684,62.26604396979703,3.912068,"{6, 7}"
189.18012352516985,62.26780311042821,1.010192,"{5, 6, 7}"
189.21456509641558,62.26790782606398,2.30014,"{2, 4}"
189.2037725507638,62.268427351689766,7.087833,"{6, 7}"
189.13736043878572,62.26868284257599,3.736,"{2, 5, 7}"
189.13400823557004,62.26977916564395,3.338965,{7}
189.18883729204094,62.26991369706939,5.01609,"{6, 7}"
189.14175422963598,62.27073532037033,1.387524,{7}
189.20416625203381,62.2707601447491,8.931176,{7}
189.14073870202765,62.27148575444673,5.018634,{7}
189.21960755554477,62.2718639747152,3.218176,"{5, 7}"
189.139676921283,62.272422812633444,1.016305,{7}
189.1282833855931,62.272973738788046,5.440207,{6}
189.14578820218466,62.273317928018855,6.664907,"{6, 7}"
189.22218501903512,62.27358537943752,6.90737,"{2, 4}"
189.20034998887897,62.27370124198827,3.317947,{7}
189.107340846543,62.27415100743417,2.612176,{7}
189.15237857520455,62.2751296944592,2.199608,{7}
189.1147067829646,62.27550497127697,2.918146,{7}
189.22173830791704,62.275696787057214,3.416421,{7}
189.21504396150056,62.27700749177262,3.872956,"{4, 5, 6, 7}"
189.1288640180997,62.27890543788103,3.362551,{7}
189.14360284545268,62.28054546605988,4.383165,"{4, 5, 6, 7}"
189.12489774751253,62.2811222296314,2.23,"{2, 4}"
189.14157716396417,62.2819245303132,3.201095,{7}
189.111454746972,62.28194140087519,2.915667,{7}
189.18925733629948,62.283755070634264,2.026,"{2, 4}"
189.10888318617455,62.284217055657734,4.930765,"{6, 7}"
189.14221755493145,62.2845964310019,9.208566,"{6, 7}"
189.18488493195073,62.28493708287356,3.314844,{7}
189.13787468430434,62.28584962634955,0.679217,"{2, 6}"
189.15361238534473,62.28625720038117,0.455532,{7}
189.1212125471607,62.28640562222838,6.666551,"{6, 7}"
189.15531434539818,62.286471450819306,6.808111,"{6, 7}"
189.15031775344875,62.28679320730573,2.982308,{7}
189.122835091783,62.22269042241146,2.748374,"{4, 5, 6, 7}"
189.15500244424146,62.28777349193501,3.396555,"{6, 7}"
189.10908726411245,62.224835480063234,0.696204,"{6, 7}"
189.11654721434897,62.225296024873664,1.67168,"{2, 6}"
189.08585429059238,62.2266001310581,1.010929,"{9, 7}"
189.1383284369887,62.289865443173255,9.304765,"{6, 7}"
189.10723033208205,62.22894990236498,2.936855,"{4, 6, 7}"
189.08912251620345,62.22942512339734,1.24831,{4}
189.08861555010722,62.229713177653196,1.0047,"{2, 4}"
189.08620569523003,62.23103043175396,1.972433,"{6, 7}"
189.10652277316703,62.230628071344995,2.937017,"{6, 7}"
189.13779707061673,62.29162884838282,2.87402,"{2, 3, 4}"
189.1024347205736,62.231893431651585,1.193,"{5, 6, 7}"
189.04125858170343,62.23349855515247,1.57954,{4}
189.12251529864125,62.2928497492568,4.682534,"{6, 7}"
189.12791602353053,62.233649890165054,3.069841,{6}
189.11991626569719,62.23400244023245,3.215139,"{2, 6, 7}"
189.04313999094637,62.23416348058913,1.071011,"{6, 7}"
189.12142360747623,62.29445445822807,3.396225,"{5, 6, 7}"
189.09733743939228,62.236013066614255,2.378,"{6, 7}"
189.08508909699762,62.2359658655147,1.873474,"{6, 7}"
189.04674014168123,62.236627424967566,2.266501,{6}
189.08871971955722,62.236707681903496,3.85785,"{6, 7}"
189.12007278602493,62.295024916679395,1.255734,{7}
189.0291114195693,62.23724662404234,0.9386,"{6, 7}"
189.03613731959476,62.23769219678188,1.67569,"{6, 7}"
189.04437712691478,62.23741063687879,1.691267,"{4, 5, 6}"
189.10961336914158,62.237954404149775,1.893,"{2, 4}"
189.02941765179668,62.23789165113425,2.138821,"{4, 5, 6}"
189.11716445156168,62.23880997184244,1.877452,"{6, 7}"
189.0244383989448,62.2388240451092,2.140864,"{6, 7}"
189.00873074997267,62.239007086230934,3.659887,"{6, 7}"
189.01267713769442,62.238874818379,1.025978,"{4, 6, 7}"
189.16868320976934,62.23938763646221,3.168385,"{6, 7}"
189.13230736519742,62.23969404394805,3.218786,"{6, 7}"
189.09940383421545,62.23980620839126,3.1244,"{6, 7}"
189.04314575210205,62.239869897180064,3.069748,"{2, 5}"
189.0956724782647,62.23996346433568,2.919927,"{6, 7}"
189.11483958161938,62.24004721459831,2.98628,"{6, 7}"
189.13517478168563,62.24003688103603,1.636687,"{2, 4}"
189.12286855461556,62.24038071278287,1.923891,"{5, 6, 7}"
189.08124600729462,62.240265431392984,2.312794,"{6, 7}"
189.03354496675482,62.24070158634516,2.92846,"{6, 7}"
189.07292532271615,62.240971027891234,2.981457,"{6, 7}"
189.04949984454421,62.24117557664354,1.284448,"{6, 7}"
189.1841325325949,62.24149377694705,2.582625,"{6, 7}"
189.19309861144825,62.24184521438098,2.225259,"{6, 7}"
189.1818655360162,62.242298984497594,1.04441,"{2, 4}"
189.1091727086786,62.24244776134049,1.598,{4}
189.0912598073264,62.24257894451406,3.130136,"{6, 7}"
189.02635576574406,62.24257919403078,2.328177,"{6, 7}"
189.15230753582867,62.24294597034417,1.969433,{6}
189.03186652311382,62.24309487107205,2.002,"{4, 5, 6, 7}"
189.0410605619187,62.243227278993,3.682321,"{6, 7}"
189.08398428101864,62.24342948323279,0.688577,{6}
189.0357219597444,62.243153623035596,3.12931,"{6, 7}"
189.0478193736898,62.24348085509852,2.088131,{6}
189.10728379365057,62.243385953661964,3.339229,"{6, 7}"
189.10869110675668,62.24390589943943,2.577067,"{6, 7}"
189.00966234572698,62.243851379264285,2.53247,"{6, 7}"
189.18360238771598,62.24444702750108,2.48672,"{2, 6, 7}"
189.1131268258771,62.24467766516836,2.264532,"{6, 7}"
189.07295027845706,62.24405825183628,1.838789,"{9, 10, 7}"
189.08222958759993,62.245038715746816,3.07898,"{6, 7}"
189.03501537352713,62.244742785401996,0.468406,{7}
189.03240832702923,62.2455090120158,3.250335,"{6, 7}"
189.04237241579747,62.245532361557025,3.065993,"{6, 7}"
189.01898587186864,62.24551589087633,2.21717,"{6, 7}"
189.08076854559505,62.24541583899664,2.320719,"{6, 7}"
189.02323436827382,62.245629621187675,4.150369,"{6, 7}"
189.11083984182193,62.24553187744599,0.623959,"{6, 7}"
189.1720896429812,62.24606990127243,3.176535,"{6, 7}"
189.11464244448294,62.24614867333079,2.063373,"{6, 7}"
189.00666962934952,62.24582371917377,0.676875,"{2, 6}"
189.10830779846003,62.246280098031455,2.04188,"{2, 4}"
189.10564252442373,62.246328276189885,2.074549,"{6, 7}"
189.04635807921557,62.24628015530168,1.741209,{6}
189.04844536497828,62.24647203268437,1.482838,{6}
189.04876942329608,62.24654701694955,1.477662,"{6, 7}"
189.02657914006184,62.24695349904728,1.19268,"{2, 4, 5}"
189.15738750562952,62.24754097296912,2.34868,"{2, 4}"
189.0323928439733,62.24718913579671,2.588868,"{6, 7}"
189.19024010367306,62.247674827860735,2.189984,"{6, 7}"
189.07929581391576,62.24680203674142,2.305195,{6}
189.20375551368903,62.247504928612656,2.370269,"{6, 7}"
189.18346828370377,62.24739325156042,1.780517,{6}
189.1174344977375,62.24857866791102,2.323886,"{6, 7}"
189.20115267420218,62.24893520391664,2.979534,"{4, 5, 6, 7}"
189.09822954473927,62.248995956796755,2.418966,"{6, 7}"
189.07138586068382,62.24973176884294,2.940577,"{6, 7}"
189.156722267132,62.25023821366583,2.277476,"{6, 7}"
189.04678829122284,62.25005440292349,2.413705,"{6, 7}"
189.1799888885973,62.25056871182263,1.901088,"{6, 7}"
189.03994865549487,62.25039987587567,2.050599,{6}
189.06739371830938,62.25067309904977,1.993861,"{5, 6, 7}"
189.01833028710024,62.250331285639454,3.132904,"{6, 7}"
189.10936933925495,62.250895365697374,1.34349,"{6, 7}"
189.081045186903,62.25063320210158,3.125412,"{6, 7}"
189.02802652197698,62.25092069421498,2.263942,"{6, 7}"
189.19836504044522,62.251095544680545,1.016109,"{6, 7}"
189.11249977402036,62.25120418313108,2.479203,{6}
189.09886807427375,62.25048602383902,1.774811,"{4, 5, 7}"
189.11440001859128,62.25132906773211,1.136,"{2, 6}"
189.01464125457593,62.25152361413844,2.940598,"{6, 7}"
189.02059190318013,62.25153122533561,2.279864,"{6, 7}"
189.09947152342713,62.25172807505722,1.01947,"{2, 4}"
189.03204994823838,62.25088642840133,1.675195,"{6, 7}"
189.0273784942403,62.251058746710676,2.086989,"{6, 7}"
189.18852731201642,62.25218326963683,2.9406,"{6, 7}"
189.00733465346264,62.25214713773102,5.451199,"{6, 7}"
189.04212350270922,62.252378878125874,0.931,"{2, 5}"
189.11822377383817,62.25243189772842,1.78987,"{4, 5}"
189.15741708238542,62.25263234302965,1.81804,"{6, 7}"
189.1635927826351,62.25273394545618,2.326099,"{6, 7}"
189.0897490161994,62.253498841374686,1.707157,"{6, 7}"
189.16234694144265,62.253684096582944,2.96743,"{6, 7}"
189.0312767793607,62.253849695529844,1.673355,{6}
189.05218497422206,62.253607309243314,2.74401,{4}
189.11469387679708,62.25400324386857,0.803905,{4}
189.01942860818204,62.25422349818205,1.322014,"{6, 7}"
189.17711679343483,62.254501187547454,0.30598,"{2, 5}"
189.03214707058447,62.25448668511797,1.672148,{6}
189.1395588510555,62.213675782642525,1.222,"{2, 4}"
189.1331815014213,62.21444135093088,2.444021,"{6, 7}"
189.0544735342555,62.25461623313657,1.480926,"{6, 7}"
189.1415085001148,62.21946086343256,2.748083,{7}
189.1176365731133,62.255224140230546,0.674465,"{6, 7}"
189.14060466702676,62.2203658722321,2.441103,"{6, 7}"
189.03274021281135,62.254738664710985,1.439393,{4}
189.1485780046514,62.255478130548276,2.59097,"{2, 4}"
